country_code,country_name,year,month,temperature
LT,Lithuania,2018,11,2.313698730866114
LT,Lithuania,2018,12,-1.0287083555613796
LT,Lithuania,2019,1,-4.532925450032757
LT,Lithuania,2019,2,1.001375983336142
LT,Lithuania,2019,3,2.993663257168185
LT,Lithuania,2019,4,8.367166022459667
LT,Lithuania,2019,5,12.454949609694943
LT,Lithuania,2019,6,19.841725699106853
LT,Lithuania,2019,7,16.785004708074755
LT,Lithuania,2019,8,17.358731423654863
LT,Lithuania,2019,9,12.72593749364217
LT,Lithuania,2019,10,9.187283421716383
LT,Lithuania,2019,11,4.6307810505231215
LT,Lithuania,2019,12,2.386205317512635
LT,Lithuania,2020,1,2.5014801784869163
LT,Lithuania,2020,2,2.356677052275888
LT,Lithuania,2020,3,3.0872821548292713
LT,Lithuania,2020,4,6.322739640871683
LT,Lithuania,2020,5,10.082618636469686
LT,Lithuania,2020,6,18.787478065490724
LT,Lithuania,2020,7,16.93082486429522
LT,Lithuania,2020,8,17.87550978506765
LT,Lithuania,2020,9,14.574437522888184
LT,Lithuania,2020,10,9.914192215088875
LT,Lithuania,2020,11,5.13338549286127
LT,Lithuania,2020,12,0.23427183854003086
LT,Lithuania,2021,1,-3.641803049272107
LT,Lithuania,2021,2,-5.851963950054986
LT,Lithuania,2021,3,1.566429354731114
LT,Lithuania,2021,4,5.97003720998764
LT,Lithuania,2021,5,11.295385037699054
LT,Lithuania,2021,6,19.056732082366942
LT,Lithuania,2021,7,21.740520477294922
LT,Lithuania,2021,8,16.11398647677514
LT,Lithuania,2021,9,11.113115119934083
LT,Lithuania,2021,10,8.078214506949148
LT,Lithuania,2021,11,3.5899251391490297
LT,Lithuania,2021,12,-3.8161971203742495
LT,Lithuania,2022,1,-0.683750468877054
LT,Lithuania,2022,2,0.9860792971615283
LT,Lithuania,2022,3,1.3793112587544218
LT,Lithuania,2022,4,5.53563831076026
LT,Lithuania,2022,5,10.783482782302364
LT,Lithuania,2022,6,17.296768951416016
LT,Lithuania,2022,7,17.56509159457299
LT,Lithuania,2022,8,20.15822269070533
LT,Lithuania,2022,9,10.254940732320149
LT,Lithuania,2022,10,9.58042049407959
LT,Lithuania,2022,11,2.4660543908675496
LT,Lithuania,2022,12,-2.940738674133054
LU,Luxembourg,2015,1,1.5570059425888525
LU,Luxembourg,2015,2,1.103688058576414
LU,Luxembourg,2015,3,5.023069773950885
LU,Luxembourg,2015,4,8.994606280326844
LU,Luxembourg,2015,5,12.225959500958842
LU,Luxembourg,2015,6,16.286263179779052
LU,Luxembourg,2015,7,19.436719063789614
LU,Luxembourg,2015,8,19.061034079520933
LU,Luxembourg,2015,9,12.21435941060384
LU,Luxembourg,2015,10,8.672109919209634
LU,Luxembourg,2015,11,7.550145413478215
LU,Luxembourg,2015,12,6.747809825404998
LU,Luxembourg,2016,1,2.282474056487122
LU,Luxembourg,2016,2,3.4033186019494615
LU,Luxembourg,2016,3,3.9374901410793113
LU,Luxembourg,2016,4,7.459509189923605
LU,Luxembourg,2016,5,12.878453623863958
LU,Luxembourg,2016,6,15.967029253641764
LU,Luxembourg,2016,7,18.058005240655714
LU,Luxembourg,2016,8,17.58981221722018
LU,Luxembourg,2016,9,15.948638852437337
LU,Luxembourg,2016,10,8.361736682153516
LU,Luxembourg,2016,11,4.751186926662922
LU,Luxembourg,2016,12,1.2465647644092956
LU,Luxembourg,2017,1,-1.9997973535810747
LU,Luxembourg,2017,2,3.8116893337241238
LU,Luxembourg,2017,3,7.643783853900048
LU,Luxembourg,2017,4,7.377262989679972
LU,Luxembourg,2017,5,14.302200178946217
LU,Luxembourg,2017,6,17.999072774251303
LU,Luxembourg,2017,7,18.262183220155777
LU,Luxembourg,2017,8,17.022549383101925
LU,Luxembourg,2017,9,12.007922299702962
LU,Luxembourg,2017,10,10.482492123880695
LU,Luxembourg,2017,11,4.7472823341687524
LU,Luxembourg,2017,12,2.726461112018554
LU,Luxembourg,2018,1,4.464638423535131
LU,Luxembourg,2018,2,-1.6298896872571533
LU,Luxembourg,2018,3,3.334599496856813
LU,Luxembourg,2018,4,11.449529981613159
LU,Luxembourg,2018,5,15.073871812512797
LU,Luxembourg,2018,6,17.294392172495524
LU,Luxembourg,2018,7,20.4013796160298
LU,Luxembourg,2018,8,18.57780151982461
LU,Luxembourg,2018,9,13.989667145411174
LU,Luxembourg,2018,10,10.186622873429329
LU,Luxembourg,2018,11,5.411353508631388
LU,Luxembourg,2018,12,3.5734736784811947
LU,Luxembourg,2019,1,0.5910564060172726
LU,Luxembourg,2019,2,3.7631724503423483
LU,Luxembourg,2019,3,6.34949021185598
LU,Luxembourg,2019,4,8.88489790360133
